Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
367,291230.0,223630.69,113205.82,57167.047,44756.965
368,291330.7,223516.36,113184.34,56335.4,44760.055
369,291426.84,223376.28,113122.32,56331.664,44741.062
370,292314.75,223524.66,113899.95,56317.086,45329.84
371,292388.8,223494.42,113073.48,56305.176,45336.08
372,292211.4,223517.86,113072.875,55492.613,45348.71
373,292206.7,223362.27,113053.53,54699.582,45373.367
374,292284.88,223383.38,113039.12,54728.152,45387.316
375,291512.28,222515.69,113022.13,54693.797,45415.797
376,291463.88,223263.38,112248.875,54718.035,44624.504
377,291376.75,223298.66,112184.83,54713.48,44643.758
378,291459.38,223923.67,112156.46,54685.992,43870.656
379,293083.16,223992.98,112115.336,55441.78,43857.824
380,292282.94,224715.38,112054.21,55400.355,44638.19
381,292328.0,224684.45,112019.84,56203.473,44628.39
382,292335.12,224727.75,112812.2,56204.5,44605.77
383,293292.5,223606.8,112855.0,56208.598,44607.473
384,291071.53,223541.69,113915.234,57031.105,45738.145
385,291324.25,223033.06,113403.125,57254.25,44015.766
386,290565.28,222600.08,114089.37,57209.723,44802.72
387,291371.5,223548.75,113236.45,57185.254,44788.06
388,291427.72,223580.88,113183.195,56329.242,44773.484
389,291482.03,223318.84,113112.93,56325.477,44744.473
390,292249.0,223488.4,113053.91,56315.867,45333.83
391,292192.12,223445.61,113043.53,54692.273,45392.406
392,292264.38,222469.23,113042.47,54690.484,45391.254
393,291598.72,223283.45,112246.88,54734.02,45424.78
394,291526.34,223264.02,112210.67,54709.406,44636.824
395,291470.6,223155.16,112221.47,54726.188,44657.42
396,291448.6,224090.78,112189.14,54696.984,43919.47
397,293113.34,223763.81,112130.78,54637.37,43903.02
398,292425.28,224636.4,112079.28,56210.57,44685.836
399,292420.8,224776.89,112834.55,56201.887,44651.582
400,293303.1,224483.5,112829.22,56225.5,44630.477
401,293226.25,223138.81,112042.11,56227.99,44574.25
402,293212.62,223125.42,112872.53,55383.527,45297.176
403,292293.94,222880.55,112994.59,55339.34,44482.69
404,292254.66,223813.55,113001.71,56912.387,44675.797
405,293202.16,223803.67,113077.15,56900.027,43953.508
406,293132.84,224561.2,113068.43,56862.285,43985.797
407,293178.9,224725.23,113098.195,56851.785,44516.406
